candidate_id,rank,score,reasoning
CAND_0006567,1,0.754,"7.9 YOE as Senior AI Engineer. Strong retrieval background (retrieval, vector). Located in Noida, Uttar Pradesh with 60d notice."
CAND_0061257,2,0.7525,"8.0 YOE as Staff Machine Learning Engineer. Strong retrieval background (retrieval, vector). Located in Noida, Uttar Pradesh with 30d notice."
CAND_0037980,3,0.7464,"9.0 YOE as Senior Applied Scientist. Strong retrieval background (retrieval, vector). Located in Kolkata, West Bengal with 0d notice."
CAND_0093193,4,0.7445,"7.9 YOE as Senior Machine Learning Engineer. Strong retrieval background (retrieval, qdrant). Located in Bangalore, Karnataka with 45d notice."
CAND_0096139,5,0.7445,"8.3 YOE as Cloud Engineer. Strong retrieval background (). Located in Pune, Maharashtra with 90d notice."
CAND_0049262,6,0.7438,"8.1 YOE as .NET Developer. Strong retrieval background (elasticsearch). Located in Hyderabad, Telangana with 150d notice."
CAND_0028516,7,0.7422,"9.5 YOE as .NET Developer. Strong retrieval background (vector). Located in Hyderabad, Telangana with 30d notice."
CAND_0018499,8,0.7364,"7.2 YOE as Senior Machine Learning Engineer. Strong retrieval background (retrieval, embedding). Located in Noida, Uttar Pradesh with 15d notice."
CAND_0080766,9,0.732,"8.8 YOE as Staff Machine Learning Engineer. Strong retrieval background (retrieval, embedding). Located in Coimbatore, Tamil Nadu with 0d notice."
CAND_0094759,10,0.7316,"8.6 YOE as Lead AI Engineer. Strong retrieval background (retrieval, embedding). Located in Mumbai, Maharashtra with 30d notice."
CAND_0039754,11,0.7282,"16.2 YOE as Senior Applied Scientist. Strong retrieval background (retrieval, embedding). Located in Indore, Madhya Pradesh with 30d notice."
CAND_0046064,12,0.7282,"8.9 YOE as Senior NLP Engineer. Strong retrieval background (retrieval, embedding)."
CAND_0063452,13,0.7243,"9.1 YOE as Full Stack Developer. Strong retrieval background (). Located in Noida, Uttar Pradesh with 30d notice."
CAND_0053527,14,0.7242,"7.0 YOE as Junior ML Engineer. Strong retrieval background (pinecone, qdrant). Located in Bangalore, Karnataka with 90d notice."
CAND_0010149,15,0.7222,"6.9 YOE as ML Engineer. Strong retrieval background (milvus, elasticsearch). Located in Bangalore, Karnataka with 90d notice."
CAND_0053605,16,0.7217,"6.9 YOE as Senior Software Engineer (ML). Strong retrieval background (vector). Located in Noida, Uttar Pradesh with 30d notice."
CAND_0088025,17,0.7206,"8.6 YOE as Staff Machine Learning Engineer. Strong retrieval background (retrieval, embedding)."
CAND_0010903,18,0.7184,"8.0 YOE as Senior Data Engineer. Strong retrieval background (milvus). Located in Noida, Uttar Pradesh with 120d notice."
CAND_0076299,19,0.717,"9.8 YOE as Mobile Developer. Strong retrieval background (). Located in Pune, Maharashtra with 90d notice."
CAND_0085851,20,0.7167,"7.0 YOE as ML Engineer. Strong retrieval background (embedding, qdrant). Located in Hyderabad, Telangana with 60d notice."
CAND_0001638,21,0.7162,"7.9 YOE as Analytics Engineer. Strong retrieval background (vector). Located in Delhi, Delhi with 90d notice."
CAND_0046525,22,0.7158,"6.1 YOE as Senior Machine Learning Engineer. Strong retrieval background (retrieval, embedding). Located in Pune, Maharashtra with 60d notice."
CAND_0001597,23,0.7155,"9.5 YOE as DevOps Engineer. Strong retrieval background (). Located in Delhi, Delhi with 90d notice."
CAND_0019460,24,0.7155,"11.8 YOE as Operations Manager. Strong retrieval background (vector). Located in Mumbai, Maharashtra with 90d notice."
CAND_0032271,25,0.7155,"6.6 YOE as AI Research Engineer. Strong retrieval background (weaviate). Located in Hyderabad, Telangana with 120d notice."
CAND_0038571,26,0.7152,"9.9 YOE as Frontend Engineer. Strong retrieval background (pinecone). Located in Hyderabad, Telangana with 120d notice."
CAND_0066276,27,0.7151,"9.2 YOE as Civil Engineer. Strong retrieval background (retrieval, embedding). Located in Delhi, Delhi with 60d notice."
CAND_0055098,28,0.7149,"9.9 YOE as .NET Developer. Strong retrieval background (). Located in Pune, Maharashtra with 60d notice."
CAND_0094360,29,0.7148,"9.6 YOE as DevOps Engineer. Strong retrieval background (). Located in Mumbai, Maharashtra with 150d notice."
CAND_0055905,30,0.7134,"8.1 YOE as Senior Machine Learning Engineer. Strong retrieval background (retrieval, embedding)."
CAND_0078635,31,0.7133,"7.9 YOE as Software Engineer. Strong retrieval background (embedding, opensearch). Located in Noida, Uttar Pradesh with 120d notice."
CAND_0091552,32,0.7129,"7.8 YOE as Software Engineer. Strong retrieval background (). Located in Bangalore, Karnataka with 60d notice."
CAND_0040690,33,0.7128,"9.5 YOE as .NET Developer. Strong retrieval background (vector). Located in Hyderabad, Telangana with 120d notice."
CAND_0004240,34,0.7127,"9.6 YOE as Mobile Developer. Strong retrieval background (). Located in Bangalore, Karnataka with 30d notice."
CAND_0060113,35,0.7126,"8.8 YOE as DevOps Engineer. Strong retrieval background (elasticsearch, opensearch). Located in Bangalore, Karnataka with 60d notice."
CAND_0019748,36,0.7125,"9.6 YOE as Cloud Engineer. Strong retrieval background (weaviate, milvus). Located in Pune, Maharashtra with 60d notice."
CAND_0010505,37,0.7124,"9.4 YOE as .NET Developer. Strong retrieval background (). Located in Pune, Maharashtra with 60d notice."
CAND_0087652,38,0.7124,"9.5 YOE as Java Developer. Strong retrieval background (). Located in Delhi, Delhi with 90d notice."
CAND_0072954,39,0.7118,"14.7 YOE as Project Manager. Strong retrieval background (pinecone, faiss). Located in Pune, Maharashtra with 120d notice."
CAND_0023251,40,0.7116,"9.7 YOE as Frontend Engineer. Strong retrieval background (). Located in Pune, Maharashtra with 150d notice."
CAND_0068986,41,0.7113,"8.1 YOE as Mobile Developer. Strong retrieval background (). Located in Noida, Uttar Pradesh with 60d notice."
CAND_0035471,42,0.7112,"9.0 YOE as Mobile Developer. Strong retrieval background (). Located in Pune, Maharashtra with 150d notice."
CAND_0001640,43,0.7111,"9.0 YOE as QA Engineer. Strong retrieval background (). Located in Delhi, Delhi with 30d notice."
CAND_0032374,44,0.7109,"8.9 YOE as Cloud Engineer. Strong retrieval background (retrieval, vector). Located in Mumbai, Maharashtra with 90d notice."
CAND_0008684,45,0.7108,"9.5 YOE as Java Developer. Strong retrieval background (opensearch). Located in Mumbai, Maharashtra with 120d notice."
CAND_0075827,46,0.7108,"9.5 YOE as Full Stack Developer. Strong retrieval background (qdrant). Located in Delhi, Delhi with 60d notice."
CAND_0040521,47,0.7106,"7.9 YOE as Software Engineer. Strong retrieval background (vector). Located in Mumbai, Maharashtra with 30d notice."
CAND_0002451,48,0.7104,"12.6 YOE as Civil Engineer. Strong retrieval background (retrieval, embedding). Located in Mumbai, Maharashtra with 90d notice."
CAND_0051854,49,0.7104,"13.3 YOE as Graphic Designer. Strong retrieval background (pinecone, faiss). Located in Bangalore, Karnataka with 60d notice."
CAND_0043510,50,0.7101,"9.8 YOE as .NET Developer. Strong retrieval background (vector). Located in Bangalore, Karnataka with 60d notice."
CAND_0052782,51,0.71,"12.1 YOE as Project Manager. Strong retrieval background (retrieval, embedding). Located in Pune, Maharashtra with 90d notice."
CAND_0019628,52,0.7097,"8.9 YOE as DevOps Engineer. Strong retrieval background (). Located in Noida, Uttar Pradesh with 90d notice."
CAND_0040608,53,0.7097,"9.2 YOE as Full Stack Developer. Strong retrieval background (). Located in Noida, Uttar Pradesh with 90d notice."
CAND_0061136,54,0.7093,"9.0 YOE as Java Developer. Strong retrieval background (milvus, faiss). Located in Mumbai, Maharashtra with 60d notice."
CAND_0023771,55,0.709,"8.8 YOE as Full Stack Developer. Strong retrieval background (weaviate, faiss). Located in Hyderabad, Telangana with 120d notice."
CAND_0071338,56,0.7089,"10.0 YOE as QA Engineer. Strong retrieval background (). Located in Pune, Maharashtra with 150d notice."
CAND_0095423,57,0.7089,"7.8 YOE as Senior Data Engineer. Strong retrieval background (). Located in Bangalore, Karnataka with 90d notice."
CAND_0028801,58,0.7085,"9.2 YOE as Sales Executive. Strong retrieval background (embedding, pinecone). Located in Pune, Maharashtra with 90d notice."
CAND_0047148,59,0.7085,"9.9 YOE as Java Developer. Strong retrieval background (). Located in Hyderabad, Telangana with 60d notice."
CAND_0047818,60,0.7083,"9.9 YOE as Frontend Engineer. Strong retrieval background (). Located in Hyderabad, Telangana with 120d notice."
CAND_0053768,61,0.7081,"14.3 YOE as Business Analyst. Strong retrieval background (pinecone, faiss). Located in Pune, Maharashtra with 90d notice."
CAND_0028971,62,0.7078,"9.3 YOE as Project Manager. Strong retrieval background (retrieval, embedding). Located in Pune, Maharashtra with 60d notice."
CAND_0061874,63,0.7078,"9.7 YOE as .NET Developer. Strong retrieval background (vector). Located in Noida, Uttar Pradesh with 90d notice."
CAND_0092810,64,0.7076,"10.8 YOE as Graphic Designer. Strong retrieval background (embedding, pinecone). Located in Bangalore, Karnataka with 90d notice."
CAND_0094323,65,0.7076,"8.9 YOE as Full Stack Developer. Strong retrieval background (). Located in Bangalore, Karnataka with 30d notice."
CAND_0063539,66,0.7075,"10.1 YOE as Sales Executive. Strong retrieval background (retrieval, faiss). Located in Bangalore, Karnataka with 90d notice."
CAND_0078201,67,0.7075,"7.8 YOE as Data Analyst. Strong retrieval background (). Located in Bangalore, Karnataka with 120d notice."
CAND_0086642,68,0.7073,"9.5 YOE as Cloud Engineer. Strong retrieval background (). Located in Pune, Maharashtra with 90d notice."
CAND_0020876,69,0.7072,"7.6 YOE as Data Engineer. Strong retrieval background (). Located in Mumbai, Maharashtra with 60d notice."
CAND_0018872,70,0.7071,"9.5 YOE as QA Engineer. Strong retrieval background (). Located in Mumbai, Maharashtra with 120d notice."
CAND_0067211,71,0.7071,"9.9 YOE as Java Developer. Strong retrieval background (vector). Located in Mumbai, Maharashtra with 150d notice."
CAND_0039982,72,0.707,"11.1 YOE as HR Manager. Strong retrieval background (retrieval, embedding). Located in Mumbai, Maharashtra with 90d notice."
CAND_0068061,73,0.7069,"9.9 YOE as Full Stack Developer. Strong retrieval background (). Located in Delhi, Delhi with 30d notice."
CAND_0072606,74,0.7069,"9.0 YOE as Java Developer. Strong retrieval background (retrieval, qdrant). Located in Pune, Maharashtra with 150d notice."
CAND_0072039,75,0.7068,"8.9 YOE as QA Engineer. Strong retrieval background (). Located in Pune, Maharashtra with 120d notice."
CAND_0075550,76,0.7067,"9.0 YOE as Java Developer. Strong retrieval background (). Located in Noida, Uttar Pradesh with 30d notice."
CAND_0085502,77,0.7065,"9.8 YOE as Mobile Developer. Strong retrieval background (). Located in Pune, Maharashtra with 150d notice."
CAND_0064215,78,0.7063,"8.7 YOE as Civil Engineer. Strong retrieval background (retrieval, embedding). Located in Hyderabad, Telangana with 90d notice."
CAND_0081793,79,0.7062,"9.1 YOE as Full Stack Developer. Strong retrieval background (). Located in Noida, Uttar Pradesh with 30d notice."
CAND_0091568,80,0.706,"9.9 YOE as .NET Developer. Strong retrieval background (). Located in Pune, Maharashtra with 90d notice."
CAND_0003248,81,0.7059,"8.8 YOE as .NET Developer. Strong retrieval background (). Located in Bangalore, Karnataka with 90d notice."
CAND_0013021,82,0.7059,"7.8 YOE as Senior Data Engineer. Strong retrieval background (). Located in Delhi, Delhi with 60d notice."
CAND_0012669,83,0.7058,"9.2 YOE as Mobile Developer. Strong retrieval background (). Located in Bangalore, Karnataka with 120d notice."
CAND_0006958,84,0.7055,"9.9 YOE as Software Engineer. Strong retrieval background (). Located in Bangalore, Karnataka with 90d notice."
CAND_0065748,85,0.7054,"13.5 YOE as Sales Executive. Strong retrieval background (retrieval, embedding). Located in Bangalore, Karnataka with 60d notice."
CAND_0077750,86,0.7054,"9.8 YOE as Mobile Developer. Strong retrieval background (). Located in Pune, Maharashtra with 90d notice."
CAND_0095060,87,0.7048,"6.3 YOE as AI Specialist. Strong retrieval background (vector). Located in Hyderabad, Telangana with 90d notice."
CAND_0019498,88,0.7047,"9.5 YOE as Full Stack Developer. Strong retrieval background (). Located in Mumbai, Maharashtra with 90d notice."
CAND_0096440,89,0.7043,"7.7 YOE as Data Engineer. Strong retrieval background (). Located in Hyderabad, Telangana with 90d notice."
CAND_0095595,90,0.704,"8.8 YOE as Java Developer. Strong retrieval background (). Located in Hyderabad, Telangana with 30d notice."
CAND_0076655,91,0.7039,"8.8 YOE as Cloud Engineer. Strong retrieval background (). Located in Noida, Uttar Pradesh with 90d notice."
CAND_0091988,92,0.7038,"8.7 YOE as Software Engineer. Strong retrieval background (opensearch). Located in Hyderabad, Telangana with 120d notice."
CAND_0068898,93,0.7037,"7.5 YOE as Frontend Engineer. Strong retrieval background (). Located in Bangalore, Karnataka with 120d notice."
CAND_0096097,94,0.7035,"9.7 YOE as DevOps Engineer. Strong retrieval background (). Located in Pune, Maharashtra with 90d notice."
CAND_0035847,95,0.7034,"10.9 YOE as Business Analyst. Strong retrieval background (retrieval, faiss). Located in Hyderabad, Telangana with 90d notice."
CAND_0065111,96,0.7032,"12.8 YOE as HR Manager. Strong retrieval background (retrieval, pinecone). Located in Mumbai, Maharashtra with 60d notice."
CAND_0021406,97,0.703,"7.3 YOE as Software Engineer. Strong retrieval background (faiss). Located in Mumbai, Maharashtra with 60d notice."
CAND_0071974,98,0.703,"7.8 YOE as Senior AI Engineer. Strong retrieval background (retrieval, embedding)."
CAND_0031221,99,0.7029,"7.6 YOE as Senior Data Engineer. Strong retrieval background (faiss, vector). Located in Noida, Uttar Pradesh with 90d notice."
CAND_0024101,100,0.7026,"9.1 YOE as Java Developer. Strong retrieval background (). Located in Delhi, Delhi with 150d notice."
